DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-01-13,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,MG,CARATINGA,WARNER BROS. (SOUTH) INC.,36
2023-02-27,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PR,UMUARAMA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,2
2023-05-09,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,26
2023-04-23,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,234
2023-04-30,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,MG,SÃO JOÃO DEL REI,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,20
2023-02-09,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,MG,BELO HORIZONTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,38
2023-05-11,LOVE AGAIN,O AMOR MANDOU MENSAGEM, Estados Unidos,SP,GUARULHOS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,26
2023-01-12,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,BAURU,WARNER BROS. (SOUTH) INC.,199
2023-05-25,CHAMPIONS,CAMPEÕES, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,5
2023-02-15,TITANIC,TITANIC 3D, Estados Unidos,SP,SANTOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,25
2023-01-24,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,RIBEIRÃO PRETO,WARNER BROS. (SOUTH) INC.,46
2023-04-15,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,271
2023-06-06,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,28
2023-04-29,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",ES,CARIACICA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,67
2023-02-20,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SP,SANTO ANDRÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,196
2023-05-23,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,MG,MURIAÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,6
2023-03-09,EVERYTHING EVERYWHERE ALL AT ONCE,TUDO EM TODO O LUGAR AO MESMO TEMPO, Estados Unidos,RO,PORTO VELHO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,79
2023-01-03,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,MACAÉ,WARNER BROS. (SOUTH) INC.,233
2023-06-25,THE FLASH,THE FLASH, Estados Unidos,MG,POUSO ALEGRE,WARNER BROS. (SOUTH) INC.,141
2023-01-25,BABYLON,BABILÔNIA, Estados Unidos,SP,SUZANO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,7
2023-04-12,AIR,AIR: A HISTÓRIA POR TRÁS DO LOGO, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,6
2023-04-24,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO BERNARDO DO CAMPO,WARNER BROS. (SOUTH) INC.,159
